name,lanes,road_capacity_from_conversion,highway,oneway
Calle de Alfonso XII,2,2,tertiary,yes
Plaza del Conde de Toreno,,1,pedestrian,
Calle de O'Donnell,,3,primary,yes
Avenida de Menéndez Pelayo,3,3,primary,yes
Calle de Ibiza,2,1,residential,yes
Calle del Alcalde Sáinz de Baranda,,2,tertiary,yes
Calle Lope de Rueda,,1,residential,yes
Calle de Menorca,,1,residential,yes
Calle de la Vía Carpetana,,3,secondary,
Calle de O'Donnell,,3,primary,yes
Calle de O'Donnell,,3,primary,yes
Glorieta de San Vicente,4,3,primary,
Calle del Amparo,,1,residential,yes
Plaza de España,3,3,primary,yes
,3,3,primary,yes
Plaza de los Cubos,,1,pedestrian,
Calle de Santa María Micaela,,1,pedestrian,
Paseo de Eduardo Dato,4,2,tertiary,yes
Calle de la Vía Carpetana,,2,tertiary,yes
Calle de la Vía Carpetana,,2,tertiary,yes
Calle de la Vía Carpetana,,2,tertiary,
Calle de la Vía Carpetana,,3,secondary,
Puente de la Reina Victoria,,1,residential,no
Calle del Pez,,1,living_street,yes
Camino del Príncipe,1,4,motorway_link,yes
Calle de Minas,,1,living_street,yes
Cuesta de San Vicente,4,3,primary,yes
Cuesta de San Vicente,2,3,primary,yes
,,3,secondary_link,yes
Calle de la Princesa,4,3,primary,yes
Calle de la Princesa,3,3,primary,yes
Autovía del Suroeste,3,4,motorway,yes
Plaza de la Puerta del Sol,,1,pedestrian,
Plaza Mayor,,1,pedestrian,
Paseo de la Florida,4,3,secondary,no
Autovía del Suroeste,4,4,motorway,yes
Autovía del Suroeste,4,4,motorway,yes
Paseo de Colombia,,1,pedestrian,
Puente de Castilla,1,4,trunk_link,yes
,1,4,motorway_link,yes
,,4,motorway_link,yes
Carretera de Castilla,2,4,trunk,yes
Calle de Fuencarral,,1,residential,yes
Calle de Fuencarral,,2,tertiary,yes
Calle de la Palma,1,1,residential,yes
Calle del Dos de Mayo,,1,residential,yes
Calle de San Vicente Ferrer,,1,living_street,yes
Calle del Divino Pastor,,1,living_street,yes
Calle de Manuela Malasaña,,1,residential,yes
Calle de Ruíz,,1,residential,yes
,4,4,motorway,yes
Calle Galería de Robles,,1,residential,yes
Calle del Dos de Mayo,,1,pedestrian,
Calle de Velarde,,1,living_street,yes
Corredera Alta de San Pablo,,1,residential,yes
Calle de Toledo,,2,tertiary,
Carretera de Castilla,2,4,trunk,yes
Carretera de Castilla,2,4,trunk,yes
Calle de San Mateo,,1,residential,yes
Carretera de Castilla,2,4,trunk,yes
Calle de Génova,,3,primary,yes
Calle de Génova,3,3,primary,yes
Paseo del Marqués de Monistrol,3,4,motorway,yes
Calle de Mózart,,1,residential,yes
Plaza de Chueca,,1,pedestrian,
Calle de Barbieri,,1,pedestrian,
Pasaje de Modesto Martínez,,1,pedestrian,
Calle Mayor,,2,tertiary,
Calle de la Ribera del Manzanares,,1,residential,yes
Calle de Santa Fe,2,1,residential,no
,1,4,motorway_link,yes
,1,4,motorway_link,yes
Travesía de Andrés Mellado,,1,residential,yes
Paseo de la Ermita del Santo,,2,tertiary,
Calle de Abdón Terradas,,1,residential,
Calle de Abdón Terradas,,1,residential,
,,1,service,yes
Calle de Goya,3,2,tertiary,yes
Calle de Goya,1,2,tertiary,yes
Calle de Fernando el Católico,2,1,residential,yes
Calle de Donoso Cortés,1,1,residential,yes
,4,4,motorway,yes
Calle de Barceló,,1,residential,
Calle de Apodaca,,1,residential,yes
Calle de Larra,,1,residential,yes
Calle de Sagasta,,1,residential,
Calle de Serrano Anguita,,1,residential,yes
Calle de Antonio Flores,,1,residential,yes
Calle de los Hermanos Álvarez Quintero,,1,residential,yes
Calle de Sagasta,,3,primary,yes
Calle de Sagasta,,3,primary,yes
Plaza de Carlos Cambronero,,1,pedestrian,
Plaza de Santa María Soledad Torres Acosta,,1,pedestrian,
Plaza de Callao,,1,pedestrian,
Calle de Churruca,,1,residential,yes
Autovía de Toledo,3,4,motorway,yes
,,1,service,
Plaza del Dos de Mayo,,1,pedestrian,
Calle de Monteleón,,1,residential,yes
Calle de Alcalá,,2,tertiary,yes
,,1,service,
Plaza de San Francisco,,3,primary,
Calle de Santa Isabel,,1,pedestrian,
Plaza de Alonso Martínez,,3,primary,yes
Plaza de España,3,3,primary,yes
Plaza de España,3,3,primary,yes
Paseo del Prado,,3,primary,yes
Plaza de Colón,,3,primary,yes
Plaza de la Independencia,,1,service,yes
Calle de San Millán,,1,residential,yes
Calle de las Maldonadas,,1,residential,yes
Calle de los Estudios,,1,residential,yes
Plaza de Cascorro,,1,residential,yes
Calle del Duque de Alba,,1,residential,yes
Calle de San Pedro Mártir,,1,residential,no
Calle de Jesús y María,,1,residential,no
Calle de la Espada,,1,residential,yes
Calle 30,3,4,motorway,yes
Plaza de Isabel II,,1,pedestrian,
M-30,4,4,motorway,yes
Argumosa,,1,residential,
Calle del Amparo,,1,residential,yes
Calle de Andrés Mellado,,1,residential,yes
Viaducto de Segovia,,3,primary,
Calle de Bailén,2,3,primary,yes
Calle de Bailén,2,3,primary,yes
Calle del Codo,,1,pedestrian,
Plaza del Conde de Miranda,,1,pedestrian,
Plaza de la Villa,,1,pedestrian,
Calle de Jerónimo de la Quintana,,1,residential,yes
Calle del Doctor Drumen,,1,pedestrian,
Calle del Doctor Mata,,1,pedestrian,
Paseo de los Pontones,,1,residential,yes
Glorieta de Embajadores,,3,primary,yes
Ronda de Atocha,2,3,primary,yes
Ronda de Valencia,2,3,primary,yes
Puente de Segovia,7,3,secondary,
Paseo de los Pontones,,1,residential,yes
Paseo de los Pontones,,1,residential,yes
San Isidoro de Sevilla,,1,residential,no
Calle de Santa Casilda,,1,residential,yes
Gran Vía,2,3,primary,yes
Gran Vía,3,3,primary,yes
Calle de la Magdalena,,2,tertiary,yes
Calle del Olivar,,1,residential,yes
Calle del Ave María,,1,residential,yes
Pasaje Doré,,1,pedestrian,
Calle de Santa Isabel,1,1,residential,yes
Calle del León,,1,living_street,yes
Calle de Santa María,,1,residential,yes
Calle del Infante,,1,living_street,yes
Calle del Prado,,1,living_street,yes
Calle de Echegaray,,1,living_street,yes
Calle de Álvarez Gato,,1,pedestrian,yes
Calle de Espoz y Mina,,1,living_street,yes
Calle de la Cruz,,1,residential,yes
Calle de Barcelona,,1,living_street,
Calle de Cádiz,,1,pedestrian,
Pasage de Matheu,,1,pedestrian,yes
Calle de Atocha,,2,tertiary,yes
,,1,service,yes
Calle de la Aduana,,1,living_street,yes
Calle de los Jardines,,1,living_street,yes
Calle de San Alberto,,1,residential,yes
Calle de Valverde,,1,living_street,yes
Calle del Barco,,1,residential,yes
Calle de la Salud,,1,living_street,
Paseo de los Melancólicos,,1,residential,
Paseo de los Pontones,,2,tertiary,
Puente de San Isidro,,2,tertiary,yes
Puente de San Isidro,,2,tertiary,yes
Puente de San Isidro,3,2,tertiary,yes
Puente de San Isidro,2,2,tertiary,yes
Puente de San Isidro,3,2,tertiary,yes
Puente de San Isidro,,2,tertiary,yes
Calle de Alejandro Dumas,,1,residential,yes
Calle de Meléndez Valdés,,1,residential,yes
Paseo de los Pontones,,1,residential,yes
Calle de Francisco de Ricci,,1,residential,yes
Calle de Emilio Carrere,,1,residential,yes
Calle de Galileo,1,1,residential,yes
Calle de Vallehermoso,2,1,residential,yes
Glorieta de Quevedo,,3,secondary,yes
Calle de Casarrubuelos,,1,residential,yes
Calle de Calvo Asensio,,1,residential,yes
Calle de Antonio Palomino,,1,residential,yes
Calle de Fernando Garrido,,1,residential,yes
Calle de Alcalá,,2,tertiary,yes
Calle de Toledo,,3,primary,yes
Calle de Toledo,,3,primary,yes
Ronda de Segovia,,3,secondary,no
Ronda de Toledo,,3,primary,yes
Ronda de Toledo,,3,primary,yes
Ronda de Toledo,,3,primary,yes
Calle de Toledo,,2,tertiary,yes
Calle de Toledo,,2,tertiary,yes
Calle de Toledo,,2,tertiary,
Calle de Toledo,,2,tertiary,yes
Calle de Toledo,,2,tertiary,yes
Calle de Alcalá,5,3,primary,yes
Calle de Alcalá,4,3,primary,yes
Paseo de la Ermita del Santo,,2,tertiary,yes
Paseo de la Ermita del Santo,,2,tertiary,yes
Paseo de la Ermita del Santo,,2,tertiary,yes
Paseo de la Ermita del Santo,,2,tertiary,yes
Calle de Hilarión Eslava,,1,residential,yes
Calle de Isaac Peral,2,1,residential,no
Paseo del Prado,,3,primary,yes
Plaza de la Encarnación,,1,residential,
Calle de las Peñuelas,,1,residential,yes
Calle de Moratines,2,1,residential,no
Calle de Martín de Vargas,,1,residential,yes
Paseo del Doctor Vallejo Nájera,,1,pedestrian,
Calle del Correo,,1,unclassified,yes
Plaza de Pontejos,,1,pedestrian,
Calle de San Ricardo,,1,pedestrian,
Calle de la Paz,,1,pedestrian,
Calle de Blasco de Garay,,1,residential,yes
Calle del Doctor Castelo,,1,residential,yes
Paseo del Doctor Vallejo Nájera,,1,residential,yes
Calle del General Lacy,5,1,residential,
Calle de la Reina,,1,residential,yes
Plaza del Rey,,1,pedestrian,
