FID,Lat,Lon,Total_Distance,Total_Capacity
16.0,40.3293,-3.64156,0.0,0.0
26.0,40.3293,-3.62979,0.0,0.0
29.0,40.3384,-3.6181,0.0,0.0
30.0,40.3383,-3.62988,0.0,0.0
31.0,40.3385,-3.60633,0.0,0.0
32.0,40.3385,-3.59456,0.0,0.0
51.0,40.3475,-3.59464,0.0,0.0
54.0,40.3476,-3.58286,0.0,0.0
55.0,40.3476,-3.57109,0.0,0.0
56.0,40.3472,-3.65351,0.0,0.0
57.0,40.3473,-3.64174,0.0,0.0
60.0,40.3556,-3.7478,0.0,0.0
61.0,40.3565,-3.59472,0.0,0.0
62.0,40.3566,-3.58294,0.0,0.0
63.0,40.3561,-3.67715,0.0,0.0
64.0,40.3558,-3.72425,0.0,0.0
65.0,40.3559,-3.71247,0.0,0.0
66.0,40.3559,-3.7007,0.0,0.0
67.0,40.356,-3.68892,0.0,0.0
68.0,40.3564,-3.61827,0.0,0.0
69.0,40.3565,-3.60649,0.0,0.0
71.0,40.3556,-3.75958,0.0,0.0
72.0,40.3561,-3.66537,0.0,0.0
73.0,40.3562,-3.6536,0.0,0.0
74.0,40.3563,-3.64182,0.0,0.0
75.0,40.3563,-3.63004,0.0,0.0
76.0,40.3567,-3.57116,0.0,0.0
77.0,40.3567,-3.55939,0.0,0.0
79.0,40.3654,-3.61835,0.0,0.0
80.0,40.3657,-3.55946,0.0,0.0
81.0,40.3654,-3.63013,0.0,0.0
82.0,40.3655,-3.60657,0.0,0.0
83.0,40.3657,-3.57124,0.0,0.0
84.0,40.3646,-3.75968,0.0,0.0
85.0,40.3658,-3.54769,0.0,0.0
86.0,40.3649,-3.71257,0.0,0.0
87.0,40.3649,-3.70079,0.0,0.0
88.0,40.3652,-3.65368,0.0,0.0
89.0,40.3653,-3.64191,0.0,0.0
90.0,40.3655,-3.5948,0.0,0.0
91.0,40.3656,-3.58302,0.0,0.0
92.0,40.3643,-3.79501,0.0,0.0
93.0,40.3647,-3.7479,0.0,0.0
94.0,40.3643,-3.80679,0.0,0.0
95.0,40.3647,-3.73612,0.0,0.0
96.0,40.3648,-3.72435,0.0,0.0
97.0,40.3644,-3.78323,0.0,0.0
98.0,40.3645,-3.77145,0.0,0.0
99.0,40.365,-3.68902,0.0,0.0
100.0,40.3651,-3.67724,0.0,0.0
101.0,40.3652,-3.66546,0.0,0.0
102.0,40.3747,-3.55954,0.0,0.0
103.0,40.3744,-3.61843,0.0,0.0
104.0,40.3733,-3.79511,0.0,0.0
105.0,40.3741,-3.67733,0.0,0.0
106.0,40.3737,-3.73622,0.0,0.0
107.0,40.3733,-3.80689,0.0,0.0
108.0,40.3734,-3.78334,0.0,0.0
109.0,40.3748,-3.54776,0.0,0.0
110.0,40.3747,-3.57132,0.0,0.0
111.0,40.3742,-3.66555,0.0,0.0
112.0,40.3737,-3.748,0.0,0.0
113.0,40.374,-3.68911,0.0,0.0
114.0,40.3745,-3.60665,0.0,0.0
115.0,40.3738,-3.72444,0.0,0.0
116.0,40.3744,-3.63021,0.0,0.0
117.0,40.3732,-3.81867,0.0,0.0
118.0,40.3735,-3.77156,0.0,0.0
119.0,40.3736,-3.75978,0.0,0.0
120.0,40.3739,-3.71266,0.0,0.0
121.0,40.374,-3.70089,0.0,0.0
122.0,40.3746,-3.59488,0.0,0.0
123.0,40.3746,-3.5831,0.0,0.0
124.0,40.3742,-3.65377,0.0,0.0
125.0,40.3743,-3.64199,0.0,0.0
126.0,40.3824,-3.79522,0.0,0.0
127.0,40.3824,-3.78344,0.0,0.0
128.0,40.3823,-3.807,0.0,0.0
129.0,40.3829,-3.71276,0.0,0.0
130.0,40.383,-3.70098,0.0,0.0
131.0,40.3825,-3.77166,0.0,0.0
132.0,40.3826,-3.75988,0.0,0.0
133.0,40.3837,-3.55961,0.0,0.0
134.0,40.3821,-3.83056,0.0,0.0
135.0,40.3822,-3.81878,0.0,0.0
136.0,40.3834,-3.61852,0.0,0.0
137.0,40.3838,-3.54783,0.0,0.0
138.0,40.383,-3.6892,0.0,0.0
139.0,40.3831,-3.67742,0.0,0.0
140.0,40.3836,-3.58317,0.0,0.0
141.0,40.3837,-3.57139,0.0,0.0
142.0,40.3835,-3.60674,0.0,0.0
143.0,40.3836,-3.59495,0.0,0.0
144.0,40.3828,-3.72454,0.0,0.0
145.0,40.3827,-3.7481,0.0,0.0
146.0,40.3827,-3.73632,0.0,0.0
147.0,40.3833,-3.64208,0.0,0.0
148.0,40.3834,-3.6303,0.0,0.0
149.0,40.3832,-3.66564,0.0,0.0
150.0,40.3832,-3.65386,0.0,0.0
151.0,40.3924,-3.6186,0.0,0.0
152.0,40.3925,-3.60682,0.0,0.0
153.0,40.3921,-3.67751,0.0,0.0
154.0,40.3924,-3.63038,0.0,0.0
155.0,40.3929,-3.53612,0.0,0.0
156.0,40.3922,-3.66573,0.0,0.0
157.0,40.3911,-3.83067,0.0,0.0
158.0,40.3918,-3.73642,0.0,0.0
159.0,40.392,-3.68929,0.0,0.0
160.0,40.3926,-3.59503,0.0,0.0
161.0,40.3926,-3.58325,0.0,0.0
162.0,40.3918,-3.72464,0.0,0.0
164.0,40.3923,-3.65394,0.0,0.0
165.0,40.3923,-3.64216,0.0,0.0
166.0,40.3916,-3.75998,1.2706614711672424,1.2706614711672424
167.0,40.3917,-3.7482,0.05346806603349668,0.07164090715685537
168.0,40.3928,-3.5479,0.0,0.0
169.0,40.3914,-3.78354,0.0,0.0
170.0,40.3915,-3.77176,0.0,0.0
171.0,40.3927,-3.57147,0.0,0.0
172.0,40.3927,-3.55969,0.0,0.0
173.0,40.3929,-3.52434,0.0,0.0
176.0,40.3919,-3.71285,0.0,0.0
177.0,40.392,-3.70107,0.0,0.0
178.0,40.4008,-3.73652,5.064957455371386,7.147209114555806
179.0,40.4008,-3.72473,0.5620524167932557,0.5870630797778914
180.0,40.4018,-3.55976,0.0,0.0
181.0,40.4018,-3.54798,0.0,0.0
182.0,40.4007,-3.7483,23.103848146650325,27.6515720155543
183.0,40.4017,-3.57155,0.0,0.0
184.0,40.4015,-3.61868,0.0,0.0
185.0,40.4009,-3.71295,0.0,0.0
186.0,40.401,-3.70117,0.0,0.0
187.0,40.4005,-3.78365,0.0,0.0
188.0,40.4015,-3.6069,0.0,0.0
191.0,40.4013,-3.64225,0.0,0.0
192.0,40.4014,-3.63046,0.0,0.0
194.0,40.4011,-3.68938,0.0,0.0
195.0,40.4011,-3.6776,0.0,0.0
196.0,40.4012,-3.66582,0.0,0.0
197.0,40.4013,-3.65403,0.0,0.0
198.0,40.4005,-3.77187,1.2546395921989002,1.8615076128271284
