FID,Lat,Lon,Total_Distance,Total_Capacity
1,40.9124999999,-73.9124999999999,0.0,0.0
2,40.9124999999,-73.9041666666999,0.0,0.0
3,40.9041666665999,-73.9124999999999,0.0,0.0
4,40.9041666665999,-73.9041666666999,0.0,0.0
5,40.9041666665999,-73.8958333334,0.0,0.0
6,40.9041666665999,-73.8875,0.0,0.0
7,40.9041666665999,-73.8791666667,0.0,0.0
8,40.9041666665999,-73.8541666666999,0.0,0.0
9,40.9041666665999,-73.8458333333999,0.0,0.0
10,40.8958333332999,-73.9124999999999,0.0,0.0
11,40.8958333332999,-73.9041666666999,0.0,0.0
12,40.8958333332999,-73.8958333334,0.0,0.0
13,40.8958333332999,-73.8875,0.0,0.0
14,40.8958333332999,-73.8791666667,0.0,0.0
15,40.8958333332999,-73.8708333334,0.0,0.0
16,40.8958333332999,-73.8624999999999,0.0,0.0
17,40.8958333332999,-73.8541666666999,0.0,0.0
18,40.8958333332999,-73.8458333333999,0.0,0.0
19,40.8958333332999,-73.8375,0.0,0.0
20,40.8874999999,-73.9124999999999,0.0,0.0
21,40.8874999999,-73.9041666666999,0.0,0.0
22,40.8874999999,-73.8958333334,0.0,0.0
23,40.8874999999,-73.8875,0.0,0.0
24,40.8874999999,-73.8791666667,0.0,0.0
25,40.8874999999,-73.8708333334,0.0,0.0
26,40.8874999999,-73.8624999999999,0.0,0.0
27,40.8874999999,-73.8541666666999,0.0,0.0
28,40.8874999999,-73.8458333333999,0.0,0.0
29,40.8874999999,-73.8375,0.0,0.0
30,40.8874999999,-73.8291666667,0.0,0.0
31,40.8791666666,-73.9124999999999,0.0,0.0
32,40.8791666666,-73.9041666666999,0.0,0.0
33,40.8791666666,-73.8958333334,0.0,0.0
34,40.8791666666,-73.8875,0.0,0.0
35,40.8791666666,-73.8791666667,0.0,0.0
36,40.8791666666,-73.8708333334,0.0,0.0
37,40.8791666666,-73.8624999999999,0.0,0.0
38,40.8791666666,-73.8541666666999,0.0,0.0
39,40.8791666666,-73.8458333333999,0.0,0.0
40,40.8791666666,-73.8375,0.0,0.0
41,40.8791666666,-73.8291666667,0.0,0.0
42,40.8791666666,-73.8208333334,0.0,0.0
43,40.8708333332999,-73.9208333333999,0.0,0.0
44,40.8708333332999,-73.9124999999999,0.0,0.0
45,40.8708333332999,-73.9041666666999,0.0,0.0
46,40.8708333332999,-73.8958333334,0.0,0.0
47,40.8708333332999,-73.8875,0.0,0.0
48,40.8708333332999,-73.8791666667,0.0,0.0
49,40.8708333332999,-73.8708333334,0.0,0.0
50,40.8708333332999,-73.8624999999999,0.0,0.0
51,40.8708333332999,-73.8541666666999,0.0,0.0
52,40.8708333332999,-73.8458333333999,0.0,0.0
53,40.8708333332999,-73.8375,0.0,0.0
54,40.8708333332999,-73.8291666667,0.0,0.0
55,40.8708333332999,-73.8208333334,0.0,0.0
56,40.8624999999,-73.9291666666999,0.0,0.0
57,40.8624999999,-73.9208333333999,0.0,0.0
