name,lanes,road_capacity_from_conversion,highway,oneway
River Valley Road,,3,primary,
Keng Lee Road,,2,tertiary,yes
Adam Flyover,,4,trunk,yes
Upper Jurong Road,,4,motorway_link,yes
Seletar Expressway,,4,motorway,yes
Upper Serangoon Road,,3,primary,yes
Central Expressway,,4,motorway,yes
,,4,motorway_link,yes
,,3,primary_link,yes
,,4,motorway_link,yes
Tanglin Road,,3,primary,yes
Changi Road,,3,primary,yes
Newton Road,,3,primary,yes
Kallang Road,,3,primary,yes
Upper Thomson Road,,3,primary,yes
Ang Mo Kio Avenue 3,,3,primary,yes
Central Expressway,2,4,motorway,yes
Grange Road,,3,secondary,
Merchant Road,,3,secondary,yes
Unity Street,,1,residential,
Merchant Loop,,1,residential,yes
Clemenceau Avenue,,3,primary,yes
Lornie Road,,3,primary,no
Ang Mo Kio Avenue 3,,3,primary_link,yes
Kranji Expressway,,4,motorway,yes
Central Expressway,,4,motorway,yes
Kranji Expressway,,4,motorway,yes
Tampines Expressway,,4,motorway,yes
,,4,motorway_link,yes
Hougang Avenue 2,,3,primary_link,yes
Read Cresent,,1,residential,yes
Sarkies Road,,1,residential,
Tanglin Road,,3,primary,yes
,,3,primary_link,yes
Hougang Ave 1,,1,residential,
Ang Mo Kio Avenue 1,,3,primary,yes
Turf Club Avenue,,3,primary,yes
Guillemard Road,,3,primary,yes
Merbau Road,,1,residential,
Nicoll Highway,,4,trunk,yes
Scotts Road,,3,primary,yes
Ang Mo Kio Avenue 1,,3,primary,yes
Central Expressway,,4,motorway,yes
Saiboo Street,,1,residential,
Central Expressway,,4,motorway,yes
Bukit Timah Expressway,,4,motorway_link,yes
Upper Thomson Road,,3,primary,yes
Ayer Rajah Expressway,2,4,motorway,yes
Upper Thomson Road,,3,primary,yes
Geylang Road,,3,primary,yes
,,3,primary_link,yes
Ayer Rajah Expressway,3,4,motorway,yes
Patterson Road,,3,primary,yes
Prinsep Street,,3,primary,yes
Orchard Road,,3,primary,yes
Ang Mo Kio Avenue 3,,3,primary_link,yes
Hougang Avenue 2,,3,primary_link,yes
Devonshire Road,,1,residential,
Devonshire Road,,3,secondary,yes
Central Expressway,,4,motorway,yes
Exeter Road,,3,secondary,yes
Upper Thomson Road,,3,primary,yes
Queensway,3,4,trunk,yes
Orchard Boulevard,,3,secondary,yes
Alexandra Road,,3,primary,yes
Central Expressway,,4,motorway,yes
Hougang Avenue 2,,3,primary_link,yes
ECP Rochor Road Exit,,4,motorway_link,yes
Telok Blangah Road,,3,primary,yes
,,4,motorway_link,yes
Seletar Expressway,,4,motorway,yes
Mohamed Sultan Road,,1,residential,
Pasir Ris Drive 12,,3,primary,yes
Central Expressway,,4,motorway,yes
Yio Chu Kang Road,,3,primary,yes
Orchard Road,,3,primary,yes
Paterson Hill,,3,primary,yes
Seletar Expressway,,4,motorway,yes
,,4,motorway_link,yes
Kranji Expressway,,4,motorway_link,yes
Tengah Flyover,,4,motorway_link,yes
Kranji Expressway,,4,motorway_link,yes
,,1,residential,yes
Rochor Canal Road,,1,residential,yes
,,3,secondary_link,yes
Defu Avenue 1,,3,secondary,yes
Hougang Avenue 7,,3,secondary,yes
ECP Rochor Road Exit,2,4,motorway_link,yes
Waterloo Street,,1,residential,
Nicoll Highway,,4,trunk,yes
,,1,residential,no
Bain Street,,1,residential,yes
Nicoll Highway,,4,trunk,yes
Seah Street,,1,residential,yes
Liang Seah Street,,1,residential,yes
Tan Quee Lan Street,,1,residential,yes
Republic Boulevard,,3,primary,yes
Republic Avenue,,3,primary,yes
Fort Canning Tunnel,,3,primary,
Bukit Timah Road,,3,primary,yes
Queen Street,,2,tertiary,yes
Eunos Link,,3,primary,yes
Jalan Besar,,3,primary,yes
Serangoon Viaduct,,4,trunk,yes
Napier Road,,3,primary,yes
Hougang Avenue 3,,3,primary,yes
St Andrew's Road,,3,secondary,yes
,,3,secondary_link,yes
Selegie Road,,3,primary,
Sungei Road,,3,primary,yes
,,3,secondary,yes
Chua Chu Kang Road,,3,primary,yes
Scotts Road,,3,primary_link,yes
Pasir Ris Central,,1,residential,
Napier Road,,3,primary,yes
Holland Road,,3,primary,yes
,,1,service,yes
Rochor Canal Road,,3,primary,yes
Upper Bukit Timah Road,,3,primary,yes
Parliament Place,,3,secondary,yes
Coleman Street,,3,secondary,yes
Upper Bukit Timah Road,,3,primary,yes
Serangoon Road,,3,primary,yes
Ophir Road,,3,primary,yes
Victoria Street,,3,primary,yes
Lorong Chuan,,3,primary,yes
Queen Street,,2,tertiary,yes
Penang Road,,3,primary,yes
Somerset Road,,3,primary,yes
Orchard Link,,3,primary,yes
Jalan Eunos,,3,primary,yes
Tomlison Road,,1,residential,no
Cuscaden Road,,1,residential,
,,4,motorway_link,yes
,,4,motorway_link,yes
,,4,motorway_link,yes
Bras Basah Road,,3,primary,yes
Ang Mo Kio Avenue 5,,3,primary,yes
Temasek Avenue,,3,secondary,yes
Seletar Expressway,,4,motorway,yes
,,3,primary_link,yes
Woodlands Road,,3,primary,yes
,,3,primary_link,yes
,,3,primary_link,yes
Choa Chu Kang Road,,3,primary,yes
Weld Road,,1,residential,
Jalan Sultan,,2,tertiary,
Temasek Boulevard,,3,secondary,yes
Hougang Avenue 2,,3,primary,yes
Dairy Farm Road,,3,primary,yes
Dairy Farm Road,,3,primary,yes
Serangoon Viaduct,,4,trunk,yes
,,4,motorway_link,yes
Yio Chu Kang Road,,3,primary,yes
Yio Chu Kang Road,,3,primary,yes
Orchard Road,,3,primary,yes
Boundary Road,,3,primary,yes
Lorong Chuan,,3,primary,yes
Hougang Avenue 2,,3,primary_link,yes
,,4,motorway_link,yes
Beach Road,,3,secondary,yes
Beach Road,,3,secondary,yes
Bukit Panjang Road,,4,motorway_link,yes
Elgin Bridge,,3,secondary,yes
Ang Mo Kio Avenue 5,,3,primary,yes
Neil Road,,3,secondary,yes
Holland Road,,3,primary,yes
Hougang Avenue 3,,3,primary,yes
South Bridge Road,,3,secondary,yes
,,4,motorway_link,yes
Prinsep Street,,1,residential,
Bukit Panjang Road,,3,primary,yes
Hill Street,,3,primary,yes
Exit Ramp,,4,motorway_link,yes
,,4,motorway_link,yes
High Street,,3,secondary,yes
Hill Street,,3,primary,yes
River Valley Road,,3,primary,yes
North Boat Quay,,1,residential,yes
,,3,primary,yes
Nicoll Highway; Guillemard Road,,3,primary,yes
,2,4,motorway_link,yes
Kallang Road,,3,primary,yes
,,4,motorway_link,
,,4,motorway_link,yes
Raffles Avenue,,3,primary,yes
Raffles Boulevard,,3,primary,yes
Eunos Link,,3,primary,yes
Jalan Eunos,,3,primary,yes
Temasek Boulevard,,3,secondary,yes
,,2,tertiary,yes
Airport Road,,3,primary,yes
Upper Serangoon Road,,3,primary,yes
Temasek Boulevard,,3,secondary,yes
Rochor Road,,3,primary,yes
Yio Chu Kang Road,,3,secondary,
,,3,primary_link,yes
Stamford Road,,3,primary,yes
,,3,primary,yes
Jalan Besar,,3,primary,yes
,,4,motorway_link,yes
Crawford Street,,3,primary,yes
Boundary Road,,3,primary,yes
Dover Close,,1,residential,
Cantonment Road,,3,primary,yes
,,2,tertiary,
Lorong 6 Toa Payoh,,3,secondary,yes
Yio Chu Kang Link,,3,secondary,yes
Portsdown Road,,2,tertiary,yes
,,4,motorway_link,yes
Grange Road,,3,primary,yes
,,4,motorway_link,yes
,,3,primary_link,yes
New Bridge Road,,3,primary,yes
South Canal Road,,2,tertiary,yes
Merchant Road,,3,secondary,yes
,,3,primary_link,yes
,,3,primary,yes
Dover Road,,2,tertiary,no
Lavender Street,,3,primary,yes
Choon Guan Street,,1,unclassified,yes
Tanjong Pagar Road,,3,secondary,yes
Yio Chu Kang Link,,3,secondary,yes
Upper Circular Road,,1,residential,
Serangoon Central,,3,secondary,
