name,lanes,road_capacity_from_conversion,highway,oneway,road_capacity
,,3,primary,yes,0.397984872128
,,1,residential,,0.234797306034
Juan de Sosaya,,1,residential,yes,0.248190251085
García de Leon,,1,residential,,0.249614395687
De Aldana,,1,residential,yes,0.251588407791
Selva Alegre,2,1,residential,yes,1.75457097959
La Isla,,1,residential,yes,0.0363207188779
Terranova,,1,residential,,0.0647984930954
Paraguay,,1,residential,,0.199018910813
Puerto Rico,,1,residential,,0.176011772616
N27a,,1,residential,,0.0997519153785
Jamaica,,1,residential,,0.075604697516
Conde Ruíz de Castilla,,1,residential,,0.806427754324
,,1,residential,yes,0.0455018274619
,,1,residential,yes,0.0244558358503
General Rumiñahui,,4,trunk_link,yes,0.279288468047
Simón Bolívar,,4,trunk,yes,2.53558246417
Murgeon,,1,residential,,0.143366195127
San Gabriel,,1,residential,,0.702137929604
Av. Mariana de Jesús,,1,residential,yes,0.441303860868
Yaupi,,1,residential,,0.179799052827
Jorge Juan,,1,residential,yes,0.692090493622
Francisco Pizarro,,1,residential,,0.193310502667
Marieta de Ventimilla,,1,residential,,0.2334074716
Azcasubi,,1,unclassified,yes,0.28291965315
N29b,,1,residential,yes,0.148122412742
Avenida Cristóbal Colón,,3,secondary,yes,1.19611982338
Mariscal Sucre,3,4,trunk,yes,9.68434677434
,1,3,primary_link,yes,0.289306064122
,,3,primary,,0.721299998612
,,3,primary,,0.0
Avenida 10 de Agosto,,3,primary,yes,0.0844019921501
Orbigny,,1,residential,,0.0367334536731
Antonio de Ulloa,,1,residential,-1,0.742697339483
Hernando de la Cruz,,1,residential,,0.427406189498
,,1,residential,,0.0378432792331
Mariscal Sucre,3,4,trunk,yes,0.624647744526
Mariscal Sucre,3,4,trunk,yes,0.85325975154
Ave. Mariana de Jesús,,3,secondary_link,yes,0.270201388858
,,3,secondary,yes,0.569124447914
Mariscal Sucre,3,4,trunk,yes,0.206343936744
,,1,residential,yes,0.147691940951
Ignacio Quezada,,1,residential,,1.09599826053
,,1,residential,-1,0.387729926864
,,1,residential,,0.0631699330441
,,1,residential,,0.247366407212
Coudrin,,1,residential,,0.10299934472
Padre Damian,,1,residential,,0.230416841284
San Felipe,,1,residential,,0.103040401419
Avda. Mariana de Jesus,,1,residential,,0.50148604526
,,1,residential,,0.373548281785
Mateo Ponce de Leon,,1,residential,yes,0.534302042703
Munive,,1,residential,,0.11982005754
Humberto Albornoz,,1,residential,yes,0.164681150831
,,1,residential,,0.312291018243
,,1,residential,,0.0323491320256
Fulgencio Araujo,,1,residential,no,0.691056078546
Toacazo,,1,residential,,0.674291127612
Mariscal Sucre,2,3,primary,yes,0.452163913927
,,1,residential,yes,0.360309703829
Mimbela,,1,residential,,0.178168036609
Aquiles,,1,residential,,0.275879119124
Javier Lizarazu,,1,residential,,0.358963154935
Navarro,,1,residential,,0.1993521615
,,1,residential,,0.0772850650663
Gatto Sobral,,1,residential,,0.537056337203
Mariscal Sucre,2,4,trunk,yes,0.802670495158
Quito,,2,tertiary,,0.731658465835
Mariscal Sucre,2,3,primary,yes,2.97711485255
General Rumiñahui,,4,trunk_link,yes,1.49447597664
General Rumiñahui,,4,trunk_link,yes,0.198150733141
Simón Bolívar,,4,trunk_link,yes,0.26611130434
Simón Bolívar,,4,trunk_link,yes,0.280224546596
Avenida Amazonas,,3,primary,yes,0.0691535174819
Simón Bolívar,,4,trunk_link,yes,0.943345710129
General Rumiñahui,,4,trunk_link,yes,1.70054433005
Simon Bolívar,,4,trunk_link,yes,0.816205900175
Simón Bolívar,,4,trunk_link,yes,0.260293845916
Simón Bolívar,,4,trunk_link,yes,1.00897434437
Avenida 10 de Agosto,,3,primary,yes,0.253981741784
Mariscal Sucre,2,3,primary,yes,3.36463236046
Miguel y Solier,,1,residential,no,0.28107610598
Gaspar de Carvajal,,1,residential,,1.0538721969
Pascual de Andagoya,,1,residential,no,0.128557367828
Cristóbal Acuña,,1,residential,,0.251051769694
Bartolomé de Las Casas,2,1,residential,yes,1.74788482326
Salvador Rivera,,1,residential,,0.16697756742
D. de Atienza,,1,residential,,0.196452172822
Cristobal de Acuña,,1,residential,yes,0.422102115616
Pascual de Andagoya,,1,residential,,0.293091969884
,,1,residential,,0.215585546097
Hernando alcoser,,1,residential,no,0.169866087147
Pedro Gonzales,,1,residential,,0.12528518693
Gaspar Sangurima,,1,residential,,0.228626979777
Polit Lasso,,1,residential,,0.456117832384
Enrique Teran,,1,residential,,0.0760460759063
Abel Gallegos,,1,residential,,0.119319913201
Alonso Mercadillo,,1,residential,yes,0.24459222871
Fray Antonio de Marchena,,1,residential,yes,0.411247746881
Gustavo Darquea Teran,,1,unclassified,yes,0.223432592022
Gil Ramires Davalos,,1,unclassified,-1,0.392774540944
Jerónimo Carrión,,1,unclassified,-1,0.216305209104
,,1,residential,,0.0970342245567
Avenida Mariscal Sucre,3,4,trunk,yes,4.96856838339
Mariscal Sucre,,3,primary,yes,5.14506538533
General Miller,,1,residential,,0.0684100879688
,,4,trunk,yes,0.523057166651
,,1,residential,,0.0836011094736
Bolivia,,1,residential,no,0.717927739131
,1,3,primary_link,yes,0.279822991074
,,1,residential,,0.115572575172
Mosquera Narvaez,,1,residential,-1,0.430095687628
General Vicente Aguirre,,1,residential,-1,0.413326546421
Diego Mendez,,1,residential,,0.193688798691
Diego de Arcos,,1,residential,,0.0928481962831
Toribio Montes,,1,residential,no,0.476794451443
Ugarte y Saravia,,1,residential,,0.473419352332
Francisco Javier Lizarazu,,1,residential,yes,0.629226454049
Jose Berrueta,,1,residential,,0.270048519753
,,1,residential,,0.14085124041
,,1,residential,,0.135920399142
Grandes,,1,residential,,0.0876690810617
,,1,residential,yes,0.208828433961
,,1,residential,,0.178121290281
Enrique Ritter,,1,residential,no,0.864500662504
Atacames,,1,residential,,0.296698625397
,,3,primary,,0.0898714193557
La Rabida,,1,residential,yes,0.383216847854
Leonidas Batallas,,1,residential,,0.107251493139
Fernandez de Recalde,,1,residential,,0.603177459292
Artieda,,1,residential,,0.160433865674
Avenida Amazonas,,3,primary,yes,3.69603435339
De Rosario,,1,residential,,0.10438798875
Francisco Barros,,1,residential,,0.218113745678
Amazonas,,3,secondary,yes,0.643396839736
,,1,residential,no,0.0139785735289
,,3,secondary,yes,0.0
General Francisco Salazar,,1,residential,yes,0.789337143354
,,3,secondary,yes,0.0876300831518
La Coruña,,3,secondary,yes,2.31345568085
,,3,secondary,yes,0.602221734707
Calle A Hernando Alcocer,,1,unclassified,-1,0.212840054345
Calle B,,1,residential,-1,0.223908011404
,,1,residential,,0.143317978465
Nuñez de Bonilla,,1,residential,,0.208981492989
Pasaje Uno,,1,residential,no,0.0836265329048
San Pedro,,1,residential,,0.217791687169
Av. Mariana de Jesús,,1,residential,yes,0.414301275836
Avenida 10 de Agosto,,3,primary,yes,0.237995292052
La Coruña,,3,secondary,yes,1.9663328111
La Niña,,1,residential,yes,0.59192326724
Arias de Ugarte,,1,residential,,0.427186240722
Maria Urbina,,1,residential,yes,0.101545648015
Baquerizo Moreno,,1,residential,yes,0.217668356867
Leonidas Plaza,,1,residential,yes,0.220900185971
Fernando de Santillan,,1,residential,,0.297659101379
Ricardo Villavicencio,,1,residential,,0.114729879422
Mena de V,,1,residential,,0.16777304887
Meneses W,,1,residential,,0.200802568141
Francisco Viteri,,1,residential,,0.115328687412
,,1,residential,,0.420166099797
Joaquin Ayllon,,1,residential,,0.149251111422
José Calama,,1,residential,,0.400127614034
Diego de Narvaez,,1,residential,,0.0665907749186
Diego Zorrilla,,1,residential,,0.428637358085
Garcia de Valverde,,1,residential,,0.129852121068
Avenida La Gasca,,1,residential,yes,0.874927898993
Artieda,,1,residential,,0.343469823803
S. Barano,,1,residential,,0.148050933577
Diaz de Armendariz,,1,residential,,0.0840051395537
Martin de Arriola,,1,residential,,0.293715871591
Pambachupa,,1,residential,,0.110656532815
,,1,residential,,0.202015963292
Antonio de Ulloa,,1,residential,yes,0.0739023744583
Ricardo Villavicencio,,1,residential,,0.120833633639
,,1,residential,,0.142378758833
,,1,residential,,0.0543648529777
,,1,residential,,0.0548229355661
,,1,residential,,0.0890295999508
FRancisco Javier,,1,residential,,0.117727372165
,,1,residential,,0.0313601392223
Gualberto Arcos,,1,residential,,0.117414321571
Yánez Pinzón,,1,unclassified,yes,0.43384321941
Diego de Almagro,,1,residential,yes,0.857351641507
Jose Valenti,,1,residential,yes,0.114587361741
,,1,residential,,0.0270487573736
,,1,residential,,0.0640211817612
San Ignacio,,1,residential,yes,0.27532164278
Gaspar de Carvajal,,1,residential,no,0.341183516873
La Colina,,1,residential,no,0.0817979649873
Caamaño,,1,residential,yes,0.164941421352
Lallement,,1,residential,yes,0.161752675426
Rumipamba,,1,residential,no,0.275407139907
Rumipamba,,1,residential,,0.237226527421
Pedregal,,1,residential,,0.11042636439
Avenida América,,3,primary,yes,3.20960053523
